exec_time,n_threads,matrix_size,optimization
0.002232,1,256,strassen
0.017995,1,512,strassen
0.135767,1,1024,strassen
0.860210,1,2048,strassen
1.025872,1,3072,strassen
5.548018,1,4096,strassen
0.001725,2,256,strassen
0.013342,2,512,strassen
0.094209,2,1024,strassen
0.538471,2,2048,strassen
0.722350,2,3072,strassen
3.253363,2,4096,strassen
0.001650,4,256,strassen
0.011324,4,512,strassen
0.086375,4,1024,strassen
0.488931,4,2048,strassen
0.509029,4,3072,strassen
2.801751,4,4096,strassen
0.002073,8,256,strassen
0.015625,8,512,strassen
0.097192,8,1024,strassen
0.491902,8,2048,strassen
0.485484,8,3072,strassen
2.888273,8,4096,strassen
0.013856,16,256,strassen
0.025153,16,512,strassen
0.121051,16,1024,strassen
0.596826,16,2048,strassen
0.488941,16,3072,strassen
3.471797,16,4096,strassen
0.014431,24,256,strassen
0.027762,24,512,strassen
0.234184,24,1024,strassen
1.119614,24,2048,strassen
0.697924,24,3072,strassen
5.183755,24,4096,strassen
0.025663,1,256,none
0.216338,1,512,none
2.132804,1,1024,none
28.525816,1,2048,none
181.044037,1,3072,none
377.350750,1,4096,none
0.012756,2,256,none
0.109450,2,512,none
1.065410,2,1024,none
26.108697,2,2048,none
68.415325,2,3072,none
199.063579,2,4096,none
0.006467,4,256,none
0.054938,4,512,none
0.527466,4,1024,none
6.703876,4,2048,none
25.078537,4,3072,none
85.092227,4,4096,none
0.012333,8,256,none
0.031973,8,512,none
0.303097,8,1024,none
3.047797,8,2048,none
12.844225,8,3072,none
39.121916,8,4096,none
0.011657,16,256,none
0.032212,16,512,none
0.217185,16,1024,none
4.731604,16,2048,none
10.502325,16,3072,none
39.649524,16,4096,none
0.016491,24,256,none
0.025258,24,512,none
0.167174,24,1024,none
1.949311,24,2048,none
9.690237,24,3072,none
47.471303,24,4096,none

