exec_time,n_threads,matrix_size,optimization
0.024499,1,256,opt_3
0.204870,1,512,opt_3
1.651546,1,1024,opt_3
13.783804,1,2048,opt_3
47.619315,1,3072,opt_3
111.890160,1,4096,opt_3
0.012370,2,256,opt_3
0.104148,2,512,opt_3
0.829090,2,1024,opt_3
6.949889,2,2048,opt_3
23.620540,2,3072,opt_3
55.633775,2,4096,opt_3
0.007686,4,256,opt_3
0.051191,4,512,opt_3
0.417931,4,1024,opt_3
3.348795,4,2048,opt_3
11.320061,4,3072,opt_3
26.794675,4,4096,opt_3
0.003744,8,256,opt_3
0.028375,8,512,opt_3
0.235870,8,1024,opt_3
1.765781,8,2048,opt_3
5.848361,8,3072,opt_3
13.786164,8,4096,opt_3
0.003798,16,256,opt_3
0.026105,16,512,opt_3
0.165724,16,1024,opt_3
1.125956,16,2048,opt_3
3.561134,16,3072,opt_3
8.425164,16,4096,opt_3
0.005660,24,256,opt_3
0.019764,24,512,opt_3
0.153888,24,1024,opt_3
0.949824,24,2048,opt_3
3.230328,24,3072,opt_3
7.434404,24,4096,opt_3
0.025663,1,256,none
0.216338,1,512,none
2.132804,1,1024,none
28.525816,1,2048,none
181.044037,1,3072,none
377.350750,1,4096,none
0.012756,2,256,none
0.109450,2,512,none
1.065410,2,1024,none
26.108697,2,2048,none
68.415325,2,3072,none
199.063579,2,4096,none
0.006467,4,256,none
0.054938,4,512,none
0.527466,4,1024,none
6.703876,4,2048,none
25.078537,4,3072,none
85.092227,4,4096,none
0.012333,8,256,none
0.031973,8,512,none
0.303097,8,1024,none
3.047797,8,2048,none
12.844225,8,3072,none
39.121916,8,4096,none
0.011657,16,256,none
0.032212,16,512,none
0.217185,16,1024,none
4.731604,16,2048,none
10.502325,16,3072,none
39.649524,16,4096,none
0.016491,24,256,none
0.025258,24,512,none
0.167174,24,1024,none
1.949311,24,2048,none
9.690237,24,3072,none
47.471303,24,4096,none
