exec_time,n_threads,matrix_size,optimization
0.017573,1,256,offload
0.032279,1,512,offload
0.189082,1,1024,offload
3.485147,1,2048,offload
10.162042,1,3072,offload
28.220951,1,4096,offload
0.010925,2,256,offload
0.025322,2,512,offload
0.185588,2,1024,offload
3.303542,2,2048,offload
9.460429,2,3072,offload
28.060953,2,4096,offload
0.012654,4,256,offload
0.024497,4,512,offload
0.191028,4,1024,offload
2.544807,4,2048,offload
9.187078,4,3072,offload
25.975105,4,4096,offload
0.009279,8,256,offload
0.028408,8,512,offload
0.181197,8,1024,offload
2.155684,8,2048,offload
8.958222,8,3072,offload
25.994155,8,4096,offload
0.009890,16,256,offload
0.030342,16,512,offload
0.172727,16,1024,offload
2.125242,16,2048,offload
9.838803,16,3072,offload
30.546479,16,4096,offload
0.015259,24,256,offload
0.025082,24,512,offload
0.212329,24,1024,offload
2.172742,24,2048,offload
9.060893,24,3072,offload
30.569881,24,4096,offload
0.025663,1,256,none
0.216338,1,512,none
2.132804,1,1024,none
28.525816,1,2048,none
181.044037,1,3072,none
377.350750,1,4096,none
0.012756,2,256,none
0.109450,2,512,none
1.065410,2,1024,none
26.108697,2,2048,none
68.415325,2,3072,none
199.063579,2,4096,none
0.006467,4,256,none
0.054938,4,512,none
0.527466,4,1024,none
6.703876,4,2048,none
25.078537,4,3072,none
85.092227,4,4096,none
0.012333,8,256,none
0.031973,8,512,none
0.303097,8,1024,none
3.047797,8,2048,none
12.844225,8,3072,none
39.121916,8,4096,none
0.011657,16,256,none
0.032212,16,512,none
0.217185,16,1024,none
4.731604,16,2048,none
10.502325,16,3072,none
39.649524,16,4096,none
0.016491,24,256,none
0.025258,24,512,none
0.167174,24,1024,none
1.949311,24,2048,none
9.690237,24,3072,none
47.471303,24,4096,none

